eligibility_base,row_label,eligibility_indian,eligibility_international,relaxation,remarks,equivalent_qualification
After 10th,diploma engg,"50% with English, Maths and Science","50% with  Maths, Science and ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
After 10th,diploma in business administration,50% with English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
After 10th,dip in architectural assistantship,"50% with  English, Maths and Science","50% with Maths, Science and  ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
After 10th,medical laboratory sciences,"50% with  English, Maths and Science","50% with Maths, Science and  ELR",5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
After 10th,diploma in medical lab technology dmlt,50% with English,50% and ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/Wards of Kashmiri Migrants,,In case any student has studied Physics instead of Science then also eligible
After 10+2,b tech cse ece ee eee it including with international credit transfer option ece robotics and automation semiconductor and vlsi design artificial intelligence and automation cse data science with ml artificial intelligence and data science cloud computing and gen ai artificial intelligence and machine learning generative ai gen ai computer science and business systems robotics and artificial intelligence b tech cse ai and system design with global tech immersion,"60% in 10+2 with (English , Physics & Mathematics )+ LPUNEST/ JEE Main (From Phase II Onwards)/ CUET",50% in 10+2 with (Physics & Mathematics) and ELR,"- 5% to Defence Personnel and their Dependents*/Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",,
After 10+2,b tech chemical civil mechanical including with international credit transfer option mechanical mechatronics aerospace automobile artificial intelligence and machine learning civil b tech civil ai and ml,"60% in 10+2 with (English , Physics, Chemistry & Mathematics ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET","50% in 10+2 with (Physics, Chemistry & Mathematics)and ELR","- 5% to Defence Personnel and their Dependents*/ Wards of Kashmiri Migrants.
- 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",,
After 10+2,b tech biotechnology food tech and biomedical including with international credit transfer option biotechnology genetics and artificial intelligence,"60% in 10+2 with (English , Physics, Chemistry & Maths/Biology/Biotech ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET/NEET","50% in 10+2 with (Physics, Chemistry & Maths/Biology/Biotech)and ELR","5% to Defence Personnel and their Dependents*/ Wards of Kashmiri Migrants.
 - 10% to North East states and Sikkim candidates

* Not applicable for Tie-up programmes",,
After 10+2,b tech cse ai and data engineering,"60% in 10+2 with (English , Physics & Mathematics ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET + Interview by Futurense Technologies",60% in 10+2 with (Physics & Mathematics) and ELR + Interview by Futurense Technologies,- 10% to North East states and Sikkim candidates,,
After 10+2,b tech cse ai and data analytics,"60% in 10+2 with (English , Physics & Mathematics ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET + Interview by Quantiphi",60% in 10+2 with (Physics & Mathematics) and ELR + Interview by Quantiphi,- 10% to North East states and Sikkim candidates,,
After 10+2,b tech cse software product engineering,"60% in 10th and 10+2 with (English , Physics & Mathematics ) + KNET + Interview",60% in 10th and 10+2 with (Physics & Mathematics) and ELR + KNET + Interview,- 10% to North East states and Sikkim candidates,,
After 10+2,b tech hons cse data science and data engineering b tech hons cse cyber security and block chain,"60% in 10+2 with (English , Physics & Mathematics ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET",60% in 10+2 with (Physics & Mathematics) and ELR,- 10% to North East states and Sikkim candidates,,
After 10+2,integrated b tech computer science and engineering mba,"60% in 10+2 with (English , Physics & Mathematics ) + LPUNEST/ JEE Main (From Phase II Onwards)/ CUET",50% in 10+2 with (Physics & Mathematics ) + ELR,"- 5% to Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.
- 10% to North East states and Sikkim candidates",,
After 10+2,bca,50% with  English,50% and  ELR,5% to North East states and Sikkim candidates / Defence Personnel and their Dependents/ Wards of Kashmiri Migrants.,*The students from Hunar Sikhiya School (HSS) Senior Secondary (10+2) certification are also eligible for admission,
